Street,Bus Line,Departure Time,RouteDescription,Route Duration (minutes)
Kralja Aleksandra I Karađorđevića,Bus Line 61,0:35,"The bus passes through the streets: Trg Republike, Bulevar Jaše Tomića, Mihajla Pupina, Temerinska, Braće Brkić, Lasla Gala. On the way, you can see: Matica Srpska Gallery, Danube River.",47
Kneza Miloša,Bus Line 7,3:37,"The bus passes through the streets: Kneza Mihaila, Veternik, Jovana Cvijića, Trg Republike, Partizanska, Braće Vujić, Zmaj Jovina, Milutina Milankovića. On the way, you can see: Danube Park, Stari Grad, Žeželj Bridge, Svetozar Miletić Monument.",24
Pariske Komune,Bus Line 99,21:36,"The bus passes through the streets: Petefi Šandora, Petra Drapšina, Miše Dimitrijevića, Kneza Pavla, Braće Krkljuš. On the way, you can see: Liberty Square, Stari Grad, Novi Sad Fair.",36
Nova 1,Bus Line 89,15:24,"The bus passes through the streets: Njegoševa, Zmaj Jovina, Narodnih Heroja, Vukašinovićeva, Bulevar kralja Petra I, Stefana Dečanskog. On the way, you can see: Svetozar Miletić Monument, Novi Sad Synagogue.",42
Braće Janjić,Bus Line 34,14:09,"The bus passes through the streets: Partizanska, Braće Brkić, Narodnog Fronta, Nikole Tesle, Kisacka, Jovana Subotića. On the way, you can see: Fish Market, Danube Park, City Hall, Liberty Square.",52
Đorđa Jovanovića,Bus Line 4,14:09,"The bus passes through the streets: Mihajla Pupina, Braće Brkić, Podbara, Laze Kostića, Slobodana Bajica, Vukašinovićeva, Klisa. On the way, you can see: Matica Srpska Gallery, Museum of Vojvodina, Petrovaradin Fortress.",42
Trg Republike,Bus Line 89,4:22,"The bus passes through the streets: Braće Novaković, Stepanovići, Somborska Rampa, Braće Jerković, Cara Lazara, Kneza Mihailova, Petefi Šandora, Bulevar kralja Aleksandra, Bulevar Oslobođenja. On the way, you can see: Stari Grad, Petrovaradin Fortress, Freedom Square.",48
Banatić,Bus Line 71,15:24,"The bus passes through the streets: Svetog Save, Stražilovska, Lasla Gala, Svetosavska, Trg Republike, Bulevar Mihajla Pupina, Kralja Aleksandra, Kneza Mihaila, Novosadska. On the way, you can see: Cathedral of Saint George, Limanski Park, Žeželj Bridge.",30
Žarka Zrenjanina,Bus Line 86,16:24,"The bus passes through the streets: Partizanska, Kraljice Marije, Kneza Mihaila, Vuka Karadžića, Kralja Petra I, Žarka Zrenjanina, Trg Republike, Braće Popović. On the way, you can see: Danube River, Novi Sad Synagogue, Stari Grad, Fish Market.",28
Bulevar Oslobođenja,Bus Line 74,11:16,"The bus passes through the streets: Njegoševa, Miloša Obilića, Bulevar Oslobođenja, Kralja Petra I, Braće Đukić, Braće Janjić, Novosadska, Živojina Mišića. On the way, you can see: City Hall, Museum of Vojvodina, Fruška Gora National Park.",43
Braće Grulović,Bus Line 98,20:16,"The bus passes through the streets: Svetosavska, Veternik, Bulevar Mihajla Pupina, Njegoševa, Zmaj Jovina, Braće Janjić, Dunavska. On the way, you can see: Big Shopping Mall, Svetozar Miletić Monument.",35
Kralja Milana,Bus Line 21,12:49,"The bus passes through the streets: Jovana Cvijića, Majke Jugovića, Jovana Subotića, Bulevar Mihajla Pupina, Detelinara, Sajlovo, Vojvode Putnika, Kisacka, Novosadska, Braće Ilić. On the way, you can see: Serbian National Theatre, Strand Beach, Museum of Vojvodina.",26
Braće Grulović,Bus Line 35,15:44,"The bus passes through the streets: Temerinska, Braće Krkljuš, Maksima Gorkog, Novosadska, Bulevar Jaše Tomića, Nikole Tesle. On the way, you can see: Matica Srpska Gallery, Stari Grad, Novi Sad Synagogue, Danube Park.",56
Svetog Save,Bus Line 87,3:42,"The bus passes through the streets: Podbara, Jevrejska, Braće Janjić, Stevana Sremca, Trg Republike, Jevrejska, Miše Dimitrijevića, Milutina Milankovića, Jovana Subotića. On the way, you can see: Fish Market, Cathedral of Saint George, Strand Beach, Novi Sad Fair.",22
Braće Radić,Bus Line 14,11:16,"The bus passes through the streets: Svetosavska, Bulevar Evrope, Braće Vujić, Nova 2, Braće Čolaković. On the way, you can see: Svetozar Miletić Monument, Matica Srpska Gallery, Spens Sports Center.",43
Braće Đukić,Bus Line 79,20:16,"The bus passes through the streets: Braće Dronjak, Vuka Karadžića, Braće Novaković, Braće Stefanović, Omladinska. On the way, you can see: Fruška Gora National Park, Liberty Square, Novi Sad Fair, Fish Market.",59
Kneza Pavla,Bus Line 100,16:24,"The bus passes through the streets: Bulevar Patrijarha Pavla, Petra Kočića, Živojina Mišića, Sonje Marinković, Maksima Gorkog, Milana Tepić, Braće Radić. On the way, you can see: Danube Park, Petrovaradin Fortress.",48
Braće Ribnikar,Bus Line 89,23:38,"The bus passes through the streets: Stevana Sremca, Braće Vujić, Braće Radić, Novosadska 1, Kralja Petra I, Nova 2, Majke Jugovića, Veternik, Stepanovići, Braće Kovač. On the way, you can see: Limanski Park, Liberty Square, Novi Sad Fair.",22
Braće Jerković,Bus Line 80,7:07,"The bus passes through the streets: Salajka, Zmaj Jovina, Miše Dimitrijevića, Miloša Obilića, Bulevar kralja Petra I. On the way, you can see: Freedom Square, Svetozar Miletić Monument.",32
Cara Dušana,Bus Line 22,0:42,"The bus passes through the streets: Vladimira Perića, Nikole Tesle, Pavla Papa, Milana Tepić, Vojvode Mišića. On the way, you can see: Spens Sports Center, Žeželj Bridge, Danube Park, Svetozar Miletić Monument.",27
Đure Đakovića,Bus Line 92,16:17,"The bus passes through the streets: Miloša Obilića, Braće Vujić, Jovana Cvijića, Laze Telečkog, Nikole Tesle, Svetog Save, Braće Đukić, Miše Dimitrijevića, Salajka, Stevana Sinđelića. On the way, you can see: Cathedral of Saint George, Petrovaradin Fortress, Limanski Park, City Hall.",20
Zmaj Jovina,Bus Line 95,7:17,"The bus passes through the streets: Nikole Tesle, Braće Stefanović, Petra Kočića, Kralja Milana, Jovana Dučića, Cara Lazara, Kneza Pavla, Braće Radić, Bulevar kralja Aleksandra, Đorđa Jovanovića. On the way, you can see: University of Novi Sad, Novi Sad Fair, Cathedral of Saint George, Fruška Gora National Park.",50
Futoška,Bus Line 27,1:55,"The bus passes through the streets: Stevana Sinđelića, Karađorđeva, Trg Slobode, Pavla Papa, Stevana Sremca, Bulevar Jaše Tomića, Cara Dušana, Bulevar Mihajla Pupina, Njegoševa. On the way, you can see: Danube River, Spens Sports Center.",40
Futog,Bus Line 17,17:07,"The bus passes through the streets: Carice Milice, Braće Janjić, Trg Republike, Kneza Lazara, Braće Ilić. On the way, you can see: Museum of Vojvodina, Petrovaradin Fortress.",45
Omladinska,Bus Line 66,7:32,"The bus passes through the streets: Novosadska, Maksima Gorkog, Cara Dušana, Stražilovska, Njegoševa, Braće Đukić, Zmaj Jovina. On the way, you can see: Freedom Square, Cathedral of Saint George, Danube River.",38
Žarka Zrenjanina,Bus Line 99,2:02,"The bus passes through the streets: Svetog Save, Feješ Klare, Banatić, Nova 2, Zmaj Jovina, Miletićeva, Futoška, Stražilovska, Novosadska 1. On the way, you can see: Danube Park, Cathedral of Saint George, Liberty Square, Freedom Square.",39
Jevrejska,Bus Line 31,16:24,"The bus passes through the streets: Vuka Karadžića, Aleksandra Vulina, Bulevar kralja Petra I, Žarka Zrenjanina, Braće Popović, Futog, Jug Bogdana, Miše Dimitrijevića, Svetosavska, Kneza Lazara. On the way, you can see: Spens Sports Center, Danube River, Fruška Gora National Park.",44
Kneza Mihailova,Bus Line 60,1:37,"The bus passes through the streets: Njegoševa, Jevrejska, Svetosavska, Njegoševa, Karađorđeva, Đure Đakovića, Svetosavska, Jug Bogdana, Milana Tepić. On the way, you can see: Stari Grad, Strand Beach, Žeželj Bridge, Spens Sports Center.",30
Banatić,Bus Line 27,16:24,"The bus passes through the streets: Milovana Glišića, Braće Novaković, Partizanska, Petra Kočića, Braće Jerković, Dunavska, Stepanovići, Nova 1. On the way, you can see: Matica Srpska Gallery, Liberty Square, Petrovaradin Fortress.",54
Milana Tepić,Bus Line 99,4:25,"The bus passes through the streets: Sajlovo, Braće Ribnikar, Svetog Save, Vuka Karadžića, Jovana Cvijića, Braće Ribnikar, Cara Dušana. On the way, you can see: Limanski Park, Museum of Vojvodina, Petrovaradin Fortress, Danube River.",40
Braće Popović,Bus Line 71,14:09,"The bus passes through the streets: Kneza Pavla, Milutina Milankovića, Bulevar cara Lazara, Klisa, Stevana Sremca, Nova 2, Trg Slobode, Braće Radić. On the way, you can see: Fruška Gora National Park, Big Shopping Mall, Novi Sad Synagogue.",27
Novosadska 3,Bus Line 24,19:01,"The bus passes through the streets: Zlatiborska, Podbara, Kraljice Marije, Braće Ribnikar, Đure Đakovića. On the way, you can see: Strand Beach, Svetozar Miletić Monument, University of Novi Sad, Museum of Vojvodina.",37
Kneza Lazara,Bus Line 34,0:00,"The bus passes through the streets: Svetog Save, Vuka Karadžića, Kneza Miloša, Braće Radić, Braće Čolaković, Bulevar Mihajla Pupina, Živojina Mišića, Jevrejska, Podbara, Futoška. On the way, you can see: Strand Beach, Liberty Square.",40
Njegoševa,Bus Line 89,23:38,"The bus passes through the streets: Laze Kostića, Milovana Glišića, Nikole Tesle, Sonje Marinković, Braće Radić. On the way, you can see: Novi Sad Fair, Museum of Vojvodina, Cathedral of Saint George, Spens Sports Center.",30
Braće Vujić,Bus Line 40,4:25,"The bus passes through the streets: Braće Radić, Stefana Dečanskog, Braće Stefanović, Bulevar Evrope, Somborska Rampa. On the way, you can see: Freedom Square, Cathedral of Saint George.",27
Braće Ribnikar,Bus Line 50,3:37,"The bus passes through the streets: Kneza Miloša, Njegoševa, Grbavica, Vladimira Perića, Lasla Gala, Milovana Glišića, Vukašinovićeva, Bulevar kralja Aleksandra, Jovana Dučića, Đorđa Jovanovića. On the way, you can see: Museum of Vojvodina, Danube River, Fruška Gora National Park, City Hall.",41
Njegoševa,Bus Line 42,3:57,"The bus passes through the streets: Braće Jerković, Aleksandra Vulina, Braće Stefanović, Karađorđeva, Klisa, Sajlovo, Futoška, Beogradska, Kralja Milana, Pariske Komune. On the way, you can see: Fish Market, Limanski Park, Novi Sad Fair.",54
Đorđa Jovanovića,Bus Line 58,18:54,"The bus passes through the streets: Kneza Miloša, Braće Janjić, Veternik, Detelinara, Petefi Šandora, Braće Kovač, Braće Jerković. On the way, you can see: Žeželj Bridge, Danube River, Strand Beach.",44
Novosadska 1,Bus Line 54,20:24,"The bus passes through the streets: Dunavska, Telep, Nikole Tesle, Petefi Šandora, Zlatiborska. On the way, you can see: Museum of Vojvodina, Fruška Gora National Park.",24
Nikole Tesle,Bus Line 39,4:25,"The bus passes through the streets: Jovana Cvijića, Kneza Mihaila, Maršala Tita, Cara Lazara, Đure Đakovića, Partizanska, Braće Jovanović, Bulevar kralja Aleksandra. On the way, you can see: Spens Sports Center, Matica Srpska Gallery, Žeželj Bridge, Danube River.",32
Braće Ilić,Bus Line 45,10:59,"The bus passes through the streets: Braće Radić, Vuka Karadžića, Banatić, Novosadska, Kralja Petra I, Limani, Bulevar cara Lazara, Beogradska. On the way, you can see: Big Shopping Mall, Stari Grad, Fruška Gora National Park, Museum of Vojvodina.",37
Vojislava Ilića,Bus Line 43,6:12,"The bus passes through the streets: Bulevar Patrijarha Pavla, Braće Jovanović, Zmaj Jovina, Miloša Obilića, Petra Kočića, Braće Đukić, Zlatiborska, Milovana Glišića. On the way, you can see: University of Novi Sad, Stari Grad.",47
Temerinska,Bus Line 67,1:40,"The bus passes through the streets: Braće Dronjak, Dunavska, Stevana Sremca, Svetog Save, Svetosavska, Đure Đakovića, Braće Krsmanović, Braće Čolaković, Milana Tepić. On the way, you can see: Matica Srpska Gallery, Liberty Square, Danube River.",41
Miše Dimitrijevića,Bus Line 6,21:21,"The bus passes through the streets: Veternik, Petefi Šandora, Kralja Aleksandra I Karađorđevića, Braće Stefanović, Bulevar Patrijarha Pavla, Branka Radičevića, Sonje Marinković, Zlatiborska, Ive Lole Ribara, Stepanovići. On the way, you can see: Petrovaradin Fortress, Danube Park.",33
Narodnih Heroja,Bus Line 35,14:09,"The bus passes through the streets: Milana Tepić, Stepanovići, Braće Krsmanović, Cara Dušana, Vojvode Putnika, Somborska Rampa. On the way, you can see: Petrovaradin Fortress, University of Novi Sad, Cathedral of Saint George.",39
Kralja Milana,Bus Line 76,3:52,"The bus passes through the streets: Braće Jovanović, Bulevar Mihajla Pupina, Braće Ilić, Braće Đukić, Nova 1. On the way, you can see: Žeželj Bridge, Serbian National Theatre.",26
Svetosavska,Bus Line 32,6:05,"The bus passes through the streets: Bulevar Evrope, Svetog Save, Aleksandra Vulina, Temerinska, Branka Radičevića, Novosadska 2, Vojislava Ilića, Narodnih Heroja. On the way, you can see: Strand Beach, Liberty Square.",48
Milovana Glišića,Bus Line 44,20:16,"The bus passes through the streets: Cara Dušana, Novosadska 2, Svetozara Miletića, Kneza Miloša, Kneza Pavla, Braće Penić, Futog, Braće Stefanović, Bulevar kralja Aleksandra. On the way, you can see: Stari Grad, Matica Srpska Gallery, Limanski Park.",37
Svetozara Miletića,Bus Line 77,7:07,"The bus passes through the streets: Miletićeva, Petefi Šandora, Svetog Save, Jovana Dučića, Miloša Obilića. On the way, you can see: Danube Park, City Hall, Žeželj Bridge, Petrovaradin Fortress.",22
Vukašinovićeva,Bus Line 51,8:34,"The bus passes through the streets: Milana Tepić, Svetosavska, Stevana Sinđelića, Majke Jugovića, Đure Đakovića, Braće Krkljuš, Kneza Lazara, Podbara, Braće Ribnikar. On the way, you can see: Liberty Square, Fruška Gora National Park, Stari Grad.",21
Dositejeva,Bus Line 26,16:47,"The bus passes through the streets: Nova 2, Stevana Sremca, Laze Kostića, Maksima Gorkog, Vladimira Perića, Majke Jugovića. On the way, you can see: Petrovaradin Fortress, Big Shopping Mall.",47
Mihajla Pupina,Bus Line 38,11:06,"The bus passes through the streets: Bulevar Mihajla Pupina, Bulevar Slobodana Jovanovića, Veternik, Vuka Karadžića, Braće Kovač, Limani, Maksima Gorkog, Braće Penić, Jevrejska, Majke Jugovića. On the way, you can see: Museum of Vojvodina, Fruška Gora National Park, Liberty Square, Serbian National Theatre.",51
Njegoševa,Bus Line 29,14:09,"The bus passes through the streets: Podbara, Radnički, Pavla Papa, Nova 2, Veternik, Jovana Cvijića, Bulevar cara Lazara. On the way, you can see: Cathedral of Saint George, Fish Market.",59
Kisacka,Bus Line 4,11:46,"The bus passes through the streets: Beogradska, Vuka Karadžića, Novosadska 2, Vojvode Mišića, Braće Grulović, Vuka Karadžića, Klisa. On the way, you can see: Fish Market, Liberty Square.",30
Branka Radičevića,Bus Line 40,1:37,"The bus passes through the streets: Braće Grulović, Kneza Lazara, Braće Janjić, Stevana Mokranjca, Jevrejska, Kraljice Marije, Balzakova, Živojina Mišića. On the way, you can see: Museum of Vojvodina, Matica Srpska Gallery, Serbian National Theatre, Strand Beach.",40
Jevrejska,Bus Line 91,2:02,"The bus passes through the streets: Stevana Sinđelića, Vuka Karadžića, Braće Krsmanović, Braće Ilić, Kralja Petra I, Kraljice Marije, Lasla Gala, Vladimira Perića. On the way, you can see: Limanski Park, University of Novi Sad.",43
Njegoševa,Bus Line 58,8:37,"The bus passes through the streets: Novosadska 3, Braće Kovač, Ive Lole Ribara, Bulevar Evrope, Detelinara, Maksima Gorkog, Jovana Subotića, Jug Bogdana, Vojislava Ilića, Kralja Milana. On the way, you can see: Svetozar Miletić Monument, Cathedral of Saint George, Novi Sad Synagogue.",31
Somborska Rampa,Bus Line 33,16:44,"The bus passes through the streets: Stefana Dečanskog, Bulevar Evrope, Braće Dronjak, Adice, Feješ Klare, Kneza Pavla, Braće Krsmanović, Đure Đakovića, Milana Tepić. On the way, you can see: Liberty Square, Spens Sports Center, Freedom Square, Serbian National Theatre.",35
Đure Đakovića,Bus Line 74,3:37,"The bus passes through the streets: Maršala Tita, Jevrejska, Kneza Mihaila, Podbara, Braće Krsmanović. On the way, you can see: Svetozar Miletić Monument, Matica Srpska Gallery, Žeželj Bridge.",46
Cara Dušana,Bus Line 34,19:01,"The bus passes through the streets: Miloša Obilića, Lasla Gala, Milutina Milankovića, Cara Dušana, Braće Brkić, Dunavska. On the way, you can see: Matica Srpska Gallery, Liberty Square, Big Shopping Mall.",50
Mihajla Pupina,Bus Line 32,21:21,"The bus passes through the streets: Somborska Rampa, Pariske Komune, Milutina Milankovića, Nikole Tesle, Radnički, Telep, Milovana Glišića, Vuka Karadžića, Braće Dronjak, Železnička. On the way, you can see: Novi Sad Fair, Danube River, Liberty Square, Žeželj Bridge.",34
Vladimira Perića,Bus Line 12,0:00,"The bus passes through the streets: Novosadska 3, Braće Krkljuš, Svetog Save, Novosadska 2, Vojislava Ilića, Veternik, Trg Republike, Novosadska, Braće Novaković, Partizanska. On the way, you can see: Museum of Vojvodina, Big Shopping Mall, Spens Sports Center, Freedom Square.",26
Jovana Cvijića,Bus Line 52,10:39,"The bus passes through the streets: Braće Ribnikar, Braće Dronjak, Zlatiborska, Braće Janjić, Petra Kočića, Kneza Mihaila, Jevrejska, Žarka Zrenjanina. On the way, you can see: Fruška Gora National Park, Danube Park, Žeželj Bridge.",46
Bulevar Oslobođenja,Bus Line 32,20:16,"The bus passes through the streets: Branka Radičevića, Pavla Papa, Železnička, Braće Đukić, Kisacka, Bulevar Mihajla Pupina, Maksima Gorkog, Dositejeva, Futog, Majke Jugovića. On the way, you can see: Freedom Square, Petrovaradin Fortress.",54
Braće Popović,Bus Line 58,23:43,"The bus passes through the streets: Braće Popović, Braće Jovanović, Vukašinovićeva, Đorđa Jovanovića, Braće Ribnikar. On the way, you can see: Limanski Park, University of Novi Sad, Petrovaradin Fortress.",59
Podbara,Bus Line 94,2:10,"The bus passes through the streets: Vuka Karadžića, Braće Novaković, Pariske Komune, Cara Lazara, Feješ Klare, Braće Milić, Balzakova. On the way, you can see: City Hall, Liberty Square, Serbian National Theatre, Novi Sad Synagogue.",47
Kneza Pavla,Bus Line 43,16:44,"The bus passes through the streets: Braće Brkić, Narodnog Fronta, Braće Đukić, Đorđa Jovanovića, Milovana Glišića, Novosadska 1. On the way, you can see: Svetozar Miletić Monument, Stari Grad, Fish Market.",59
Železnička,Bus Line 6,0:00,"The bus passes through the streets: Adice, Narodnog Fronta, Dunavska, Laze Telečkog, Braće Ribnikar, Slobodana Bajica, Braće Popović. On the way, you can see: Novi Sad Synagogue, Stari Grad, Novi Sad Fair.",57
Novosadska,Bus Line 78,7:54,"The bus passes through the streets: Braće Jovanović, Braće Dronjak, Vuka Karadžića, Vojvode Putnika, Đure Đakovića. On the way, you can see: Cathedral of Saint George, Fish Market, Svetozar Miletić Monument.",20
Banatić,Bus Line 40,0:35,"The bus passes through the streets: Partizanska, Dunavska, Nikole Tesle, Vuka Karadžića, Stevana Sinđelića, Kraljice Marije, Laze Kostića, Žarka Zrenjanina, Podbara, Braće Brkić. On the way, you can see: Serbian National Theatre, Museum of Vojvodina.",31
Braće Grulović,Bus Line 83,9:44,"The bus passes through the streets: Kneza Mihaila, Balzakova, Kraljice Marije, Bulevar Mihajla Pupina, Jevrejska, Bulevar kralja Petra I. On the way, you can see: University of Novi Sad, Strand Beach.",28
Petra Drapšina,Bus Line 3,16:14,"The bus passes through the streets: Novosadska 1, Bulevar Mihajla Pupina, Kneza Mihaila, Sajlovo, Vojvode Mišića. On the way, you can see: Danube River, Stari Grad, Svetozar Miletić Monument, Fruška Gora National Park.",41
Kraljice Marije,Bus Line 33,13:09,"The bus passes through the streets: Vuka Karadžića, Vuka Karadžića, Kraljice Marije, Majke Jugovića, Bulevar Patrijarha Pavla, Pavla Papa, Beogradska, Mihajla Pupina, Gogoljeva. On the way, you can see: Fish Market, Spens Sports Center.",51
Trg Republike,Bus Line 38,2:57,"The bus passes through the streets: Bulevar kralja Petra I, Svetog Save, Kraljice Marije, Vuka Karadžića, Partizanska, Stevana Sremca, Nova 1, Braće Grulović, Petefi Šandora, Pavla Papa. On the way, you can see: Fish Market, City Hall.",59
Beogradska,Bus Line 54,16:24,"The bus passes through the streets: Miše Dimitrijevića, Novosadska 2, Njegoševa, Bulevar Evrope, Milana Tepić, Braće Milić, Narodnih Heroja, Ive Lole Ribara. On the way, you can see: Danube Park, Liberty Square, Spens Sports Center, University of Novi Sad.",41
Stražilovska,Bus Line 98,19:36,"The bus passes through the streets: Žarka Zrenjanina, Radnički, Njegoševa, Miletićeva, Trg Republike, Beogradska, Laze Telečkog. On the way, you can see: Novi Sad Fair, University of Novi Sad.",42
Stefana Dečanskog,Bus Line 91,22:38,"The bus passes through the streets: Jovana Subotića, Bulevar Evrope, Klisa, Svetosavska, Trg Slobode, Dunavska, Gogoljeva, Balzakova. On the way, you can see: Freedom Square, Spens Sports Center, Svetozar Miletić Monument.",36
Braće Novaković,Bus Line 81,6:12,"The bus passes through the streets: Jovana Subotića, Limani, Braće Kovač, Braće Jerković, Braće Đukić, Kisacka, Vojvode Putnika. On the way, you can see: Novi Sad Synagogue, Fish Market.",43
Svetosavska,Bus Line 89,23:03,"The bus passes through the streets: Stevana Sremca, Njegoševa, Jovana Dučića, Nova 1, Bulevar kralja Petra I, Svetog Save, Futog, Partizanska. On the way, you can see: Spens Sports Center, Fish Market, Danube River, Novi Sad Synagogue.",34
Braće Vujić,Bus Line 14,16:47,"The bus passes through the streets: Bulevar Jaše Tomića, Stražilovska, Vuka Karadžića, Ive Lole Ribara, Bulevar Evrope, Braće Krsmanović, Jovana Cvijića, Podbara, Jovana Cvijića, Jevrejska. On the way, you can see: Fruška Gora National Park, Danube River, Strand Beach, Danube Park.",30
Grbavica,Bus Line 94,7:54,"The bus passes through the streets: Novosadska 3, Braće Milić, Aleksandra Vulina, Zlatiborska, Laze Kostića. On the way, you can see: Svetozar Miletić Monument, Petrovaradin Fortress.",56
Svetosavska,Bus Line 47,7:17,"The bus passes through the streets: Adice, Braće Radić, Grbavica, Bulevar Slobodana Jovanovića, Pavla Papa. On the way, you can see: Museum of Vojvodina, Fish Market, Novi Sad Synagogue, Freedom Square.",51
Vladimira Perića,Bus Line 30,3:37,"The bus passes through the streets: Petefi Šandora, Sonje Marinković, Stefana Dečanskog, Novosadska, Svetosavska, Kneza Pavla, Zmaj Jovina, Stepanovići, Vukašinovićeva. On the way, you can see: Strand Beach, Fish Market, University of Novi Sad.",39
